Evento,Electrones_Finales_Anodo
1,11274.905762429904
2,5745.416063405079
3,8684.79802130274
4,10625.795847114983
5,6934.889844197082
6,6723.214914319275
7,7485.088202961837
8,5768.035346316769
9,7635.732621865411
10,4503.496338265978
11,5649.057593892885
12,6588.415446850702
13,8071.091037838204
14,5690.979301880319
15,6261.2616125895
16,5160.821094592408
17,4961.047797609112
18,5033.664939807001
19,6177.218916551145
20,4375.177688433925
21,11047.751274935263
22,6553.536380509526
23,5586.6618423155005
24,6193.897030863175
25,7283.752145295379
26,4833.263151450101
27,5562.317853524075
28,5229.62168593161
29,9272.221114799413
30,6790.555744543252
31,6301.982787478079
32,3371.4166876802583
33,7533.1908914482865
34,4707.799366194651
35,4442.300916103534
36,9780.835172770478
37,10148.088072592776
38,15171.824860027735
39,4918.504910326533
40,6891.65165392896
41,3978.7746281267337
42,3238.0931656772887
43,4783.3021170127795
44,4509.614528500007
45,6443.973582269094
46,5806.213988706082
47,9599.319400515451
48,8764.169646996448
49,5618.992922868159
50,5116.113853573487
51,9820.00579506812
52,6834.885770153069
53,6078.7684030108885
54,5408.872243160045
55,6763.01915900214
56,6483.3912281783305
57,6784.425237983083
58,5180.996429664705
59,5796.039932559831
60,6308.699861848389
61,6850.8866835550625
62,6020.747061847174
63,8373.221939554862
64,34860.80813410552
65,5217.691986064207
66,6163.454554938337
67,4524.797399556506
68,9249.905694159701
69,5048.771864357087
70,5512.814761928371
71,5272.052690976796
72,5418.309236550961
73,5377.490315678378
74,13772.201161441079
75,24882.124434902707
76,16174.189462096
77,6369.400370727431
78,5319.934396836876
79,4239.799525699719
80,3921.4677157938054
81,15063.8040158296
82,5556.749009208375
83,8710.003014123924
84,5861.784544939136
85,4450.060245295539
86,3894.090319217666
87,5675.971788124942
88,5255.586579827905
89,5156.894112647529
90,5341.509494564486
91,11230.54390707794
92,5344.798541515774
93,5163.493263238273
94,9917.159089467083
95,13311.219397389057
96,7701.248619325364
97,5396.066139918828
98,6007.8704412557
99,12612.375787348928
100,5029.366407823831
