Energia_eV,Electrones
6403.84,169845
6390.84,208393
6403.84,191945
6390.84,87380
6403.84,137501
6403.84,195406
6403.84,202913
6403.84,185591
6403.84,193473
6403.84,184628
6403.84,205173
6390.84,190410
6390.84,90822
6403.84,207058
6403.84,193019
6390.84,190675
6390.84,193398
6403.84,193956
6403.84,180421
6390.84,198757
6403.84,194045
6403.84,93628
6403.84,186338
6403.84,190898
6403.84,178157
6390.84,197678
6403.84,187556
6403.84,188160
6390.84,193182
6403.84,192469
6390.84,102031
6403.84,97751
6403.84,193152
6403.84,182552
6403.84,194550
6403.84,181931
6390.84,152136
6403.84,171438
6390.84,171851
6403.84,173764
6403.84,201200
6390.84,165814
7058.0,213951
6390.84,181963
6390.84,182898
6403.84,188952
7058.0,200630
6403.84,183515
7058.0,206829
6403.84,171097
6403.84,192162
6403.84,193998
6403.84,202016
6390.84,177086
6403.84,174394
7058.0,218942
7058.0,210370
6403.84,191743
6390.84,200522
7058.0,237400
6390.84,184052
6390.84,181095
6403.84,180584
6403.84,178877
6390.84,185978
6390.84,195207
7058.0,213820
7058.0,200863
6403.84,200764
6403.84,194928
6390.84,175820
6403.84,95598
6403.84,177893
6390.84,173735
6403.84,211846
6390.84,194330
7058.0,206447
6390.84,78398
6403.84,183137
6403.84,87076
6390.84,193945
6403.84,192718
6390.84,165794
6403.84,93145
6390.84,183972
6390.84,189793
6403.84,181597
6390.84,168426
6403.84,177726
6403.84,98102
6390.84,182056
6403.84,182396
6403.84,188244
6403.84,190333
6403.84,206331
6403.84,171875
6390.84,111901
6403.84,190198
7058.0,204973
6403.84,198186
6390.84,190180
6390.84,185238
6403.84,202828
6403.84,193326
6390.84,188259
6403.84,204754
6390.84,107335
6403.84,185333
6403.84,172491
6403.84,181831
6403.84,185037
6403.84,177467
7058.0,195170
6390.84,183170
6403.84,191907
6403.84,205070
6403.84,173148
6390.84,197277
7058.0,216818
6390.84,189992
6403.84,202292
6403.84,180328
6403.84,202904
6403.84,193978
6403.84,189994
6390.84,190646
7058.0,201377
6403.84,86171
6390.84,207841
7058.0,37131
6390.84,198259
6403.84,190403
6403.84,87938
6403.84,200933
6390.84,204401
6403.84,203442
6403.84,98968
7058.0,147104
6390.84,196166
6403.84,201181
6390.84,189219
6403.84,195457
6403.84,183892
6403.84,189975
6390.84,203300
6390.84,187928
6403.84,189253
6403.84,190426
6403.84,190777
6403.84,198979
6403.84,182446
6390.84,179148
6390.84,83801
6403.84,194585
6403.84,182313
6390.84,193061
6403.84,190142
6403.84,185731
6390.84,220468
6390.84,213661
6390.84,196828
6390.84,192447
6403.84,171893
6390.84,196124
6390.84,181239
6403.84,179781
6403.84,99220
6403.84,194684
6403.84,197757
6390.84,171215
6390.84,187105
6390.84,186880
6390.84,147435
6390.84,191495
6403.84,208648
6403.84,183511
6403.84,185040
6390.84,209040
6390.84,197875
6403.84,181349
6403.84,196988
6403.84,213352
7058.0,213526
6390.84,189296
6390.84,201099
6403.84,177805
6403.84,194777
6403.84,189147
6403.84,187788
6403.84,187136
6390.84,170796
6403.84,157130
6390.84,90699
6403.84,190119
6403.84,190159
6390.84,178488
6390.84,190434
7058.0,110960
6403.84,214014
6403.84,192484
6390.84,184327
6403.84,194017
6403.84,182464
6390.84,204226
6403.84,193826
6403.84,97485
6403.84,203258
6390.84,210454
6403.84,194146
6403.84,187671
6390.84,173509
6390.84,176571
6403.84,199990
6403.84,165224
6403.84,207214
6403.84,191834
6403.84,191891
6390.84,180144
6403.84,194645
6390.84,188314
6403.84,200759
6390.84,171817
6403.84,182638
6403.84,181514
6390.84,193497
6390.84,176926
6403.84,185028
6390.84,182191
6403.84,200868
7058.0,200753
6403.84,194226
6390.84,210747
6390.84,99281
6390.84,193897
6403.84,177924
6403.84,170790
6403.84,179110
6390.84,191398
7058.0,228917
6403.84,176930
6390.84,203935
6403.84,184024
6403.84,191365
6390.84,166920
7058.0,210197
6390.84,184480
6390.84,192392
6403.84,171951
6390.84,208027
6390.84,192361
6403.84,185144
6403.84,173282
6403.84,169576
6390.84,178784
6403.84,198911
6403.84,184906
6390.84,184064
6403.84,197629
6390.84,195297
6403.84,201607
6403.84,202932
6390.84,94088
6403.84,180008
7058.0,215595
6403.84,180102
6403.84,198550
6390.84,99325
6403.84,200997
6390.84,172364
6390.84,204796
6390.84,96279
7058.0,210951
6390.84,177366
6390.84,180663
6390.84,188744
6403.84,192903
6390.84,173868
6390.84,205980
6390.84,189178
6403.84,199615
6403.84,181141
6403.84,175191
7058.0,213079
6403.84,179928
6403.84,183441
6390.84,188960
6403.84,181847
6403.84,195892
6403.84,201971
6403.84,91000
6403.84,182333
6390.84,176035
6403.84,202160
6403.84,187179
6390.84,84889
6403.84,208984
6390.84,184056
6390.84,189986
6403.84,185186
6403.84,198402
6403.84,187784
6403.84,190960
6390.84,174764
6403.84,183712
7058.0,189839
6390.84,201581
6403.84,213907
6390.84,204915
6403.84,199367
6403.84,192895
6403.84,99994
6403.84,188502
6390.84,118316
6390.84,86475
6390.84,175412
6403.84,199486
6403.84,171474
7058.0,196693
6390.84,177788
6390.84,185420
6403.84,186841
6403.84,171421
7058.0,207115
6390.84,206495
6403.84,171573
6403.84,190563
6403.84,201464
6390.84,204675
6390.84,190142
6403.84,168485
6403.84,184006
6390.84,181357
6403.84,177396
6403.84,188912
6403.84,137978
6390.84,195937
6403.84,169078
6403.84,165982
6403.84,168434
7058.0,202652
6403.84,200727
6390.84,188949
6403.84,200629
7058.0,113231
6390.84,177309
6390.84,79740
6403.84,190188
6403.84,206148
6403.84,196200
6403.84,199048
6403.84,177586
7058.0,188654
6390.84,202872
7058.0,214703
6390.84,195010
6403.84,197010
7058.0,196999
7058.0,195781
6390.84,161859
6403.84,170305
6403.84,182300
6403.84,102102
6403.84,188220
6390.84,179679
6403.84,183808
6403.84,208213
6403.84,90020
6390.84,88395
6403.84,177765
6403.84,173973
6390.84,181921
6403.84,185721
6390.84,181953
6403.84,185908
6390.84,204234
7058.0,209085
6390.84,207088
6403.84,195068
6390.84,179962
6403.84,166731
6403.84,186970
6403.84,171707
6403.84,162190
6390.84,172204
6390.84,192351
6403.84,181661
6390.84,190924
7058.0,173759
6403.84,194833
6403.84,101566
6403.84,184642
6403.84,202720
6403.84,185860
6390.84,193752
6390.84,197062
6403.84,190714
6403.84,200757
6403.84,201314
6403.84,209086
6403.84,185827
6403.84,171784
6403.84,203226
6390.84,182397
6390.84,204685
6390.84,183565
6403.84,170802
6403.84,208082
6390.84,172990
7058.0,194860
6403.84,202446
6403.84,185613
6403.84,196313
6403.84,205943
6403.84,200415
6390.84,159059
6403.84,186085
6403.84,183693
6403.84,205687
6390.84,175190
6390.84,190054
6403.84,191703
6390.84,175261
6403.84,198586
6403.84,207938
6390.84,84681
6403.84,191790
6403.84,200384
6390.84,198945
6403.84,196580
7058.0,212055
6403.84,170694
6403.84,213503
6390.84,179839
6390.84,196919
6403.84,190883
6403.84,206533
6403.84,93872
6390.84,196864
6403.84,181698
6403.84,97509
6403.84,196512
6390.84,190606
6390.84,184270
6403.84,191294
6390.84,204611
7058.0,207309
6403.84,210292
6403.84,188226
6403.84,186052
6403.84,192342
6403.84,194104
6403.84,187846
6403.84,181453
6403.84,205426
6403.84,217226
6403.84,194143
7058.0,193422
6403.84,90084
6403.84,193355
6403.84,217318
6403.84,98714
6403.84,200574
6403.84,157825
6390.84,31750
6390.84,186927
7058.0,209491
6403.84,179691
6390.84,191694
6403.84,219096
7058.0,207746
6390.84,211286
6390.84,183751
6403.84,190457
6403.84,204264
6390.84,176931
6390.84,193603
6403.84,185718
6403.84,191460
6403.84,175773
6390.84,90371
6403.84,189743
6403.84,172685
6403.84,191947
6403.84,199139
6390.84,170222
6403.84,174389
6403.84,187457
6403.84,192754
6403.84,217930
6403.84,180539
6403.84,90544
6403.84,182157
6403.84,187251
6403.84,175864
6390.84,197621
6403.84,219733
6403.84,191865
6390.84,176307
6403.84,188113
6390.84,168794
