Energia_eV,Electrones
6390.84,190240
6403.84,89954
6390.84,185583
6403.84,175584
6403.84,97184
6390.84,174210
6390.84,19320
6390.84,201669
6390.84,184000
6390.84,201793
6403.84,87347
6403.84,177726
6403.84,177633
6390.84,196867
6403.84,185989
6390.84,179203
6403.84,121161
6403.84,175908
7058.0,210175
6390.84,215594
6403.84,184950
6390.84,193247
6403.84,103738
6403.84,189234
6403.84,172921
6403.84,188277
6390.84,216294
6403.84,192197
7058.0,204715
6390.84,190893
6403.84,110283
6403.84,197870
6403.84,200151
6390.84,185782
6390.84,181712
6390.84,186390
6403.84,173143
6403.84,187239
6403.84,179587
6390.84,188764
6403.84,180815
6403.84,170559
6390.84,200096
6403.84,192268
6403.84,200314
6403.84,187539
6403.84,96007
6403.84,182031
6390.84,190476
6403.84,99945
6403.84,178216
6403.84,181399
6403.84,165566
6403.84,186286
6403.84,201593
6403.84,176307
6403.84,176175
7058.0,235394
6390.84,181228
6403.84,173546
6403.84,187075
6403.84,195011
6390.84,205845
6403.84,192392
6390.84,194727
6390.84,198886
6390.84,103027
6390.84,116046
6403.84,207642
6390.84,184830
6390.84,192345
7058.0,198567
7058.0,170683
6390.84,95147
6390.84,203235
6390.84,179718
7058.0,204025
6390.84,188935
6403.84,172512
6403.84,184475
6403.84,187615
6390.84,184371
6390.84,195067
7058.0,117951
6403.84,185879
6403.84,173599
6390.84,180074
6403.84,190506
6390.84,84258
6390.84,178535
6403.84,185510
6403.84,110583
6403.84,182390
6403.84,112940
6403.84,194022
7058.0,206792
6390.84,183533
6390.84,180610
7058.0,184803
6403.84,189239
6403.84,213472
6403.84,181995
6403.84,204160
6390.84,146436
6403.84,199274
6403.84,205307
6403.84,195238
6403.84,198230
6390.84,29117
6403.84,202383
6403.84,96062
6403.84,197313
6403.84,194370
6403.84,182233
6390.84,201553
6403.84,80257
6403.84,200029
6403.84,93063
6403.84,186109
6403.84,175619
6390.84,79624
6390.84,194661
6390.84,180686
6390.84,160081
6403.84,198970
6403.84,198287
6403.84,193838
6403.84,175176
6390.84,175407
6403.84,90394
6403.84,161808
6403.84,177048
6390.84,207121
7058.0,211424
6403.84,191853
6403.84,190308
6403.84,88387
7058.0,209290
6390.84,171520
6390.84,185630
6403.84,191944
7058.0,207931
6403.84,186151
6390.84,209814
7058.0,204002
6403.84,191294
6403.84,204484
6403.84,223192
6403.84,184329
6403.84,188749
6390.84,185370
6390.84,207381
6403.84,34016
6390.84,194290
6403.84,101158
6403.84,170358
6403.84,193096
6403.84,185983
6403.84,147822
6403.84,185409
6403.84,188341
6403.84,181935
6403.84,191763
6390.84,80387
6403.84,186928
6403.84,177476
6390.84,182165
6403.84,202314
6403.84,187045
6403.84,186266
6390.84,101617
6403.84,192719
7058.0,214013
6390.84,201303
6390.84,202542
7058.0,209762
6403.84,176950
6403.84,167852
6390.84,184478
6390.84,176062
6403.84,180841
6390.84,187037
6403.84,181895
6403.84,199826
6403.84,178349
6403.84,176909
6390.84,9101
7058.0,206990
6390.84,193952
6390.84,188688
6390.84,28794
6390.84,216453
6403.84,179006
6390.84,189265
6403.84,102682
6390.84,89493
6403.84,172379
6403.84,220692
6403.84,189935
6390.84,204600
6390.84,181389
6403.84,85784
6390.84,97004
6403.84,212145
6390.84,187756
6390.84,175858
6403.84,192031
6403.84,93798
6403.84,185611
7058.0,211457
6403.84,194499
6403.84,185867
6403.84,182388
6403.84,179636
6403.84,194424
6403.84,171989
7058.0,209242
6390.84,191249
6390.84,167402
6390.84,188278
6403.84,181231
6403.84,184288
6403.84,180762
6403.84,212271
6403.84,178540
6403.84,203227
6403.84,195241
6403.84,194887
6403.84,207109
6403.84,192697
6403.84,187145
6390.84,190063
6403.84,192810
6403.84,203770
6403.84,187379
7058.0,220274
6403.84,180409
6390.84,206793
