Energia_eV,Electrones
7058.0,218298
6403.84,179178
7058.0,199675
7058.0,216825
6403.84,182316
6403.84,181778
6390.84,97241
6390.84,179108
6403.84,191759
7058.0,184078
6390.84,202946
6403.84,195601
7058.0,216804
6390.84,193087
6403.84,199430
7058.0,187495
6390.84,85320
6403.84,171496
7058.0,228468
7058.0,200589
6403.84,201660
6390.84,188928
6403.84,215885
6390.84,172688
6403.84,175986
6403.84,196049
7058.0,229450
6390.84,174373
6403.84,204365
6403.84,200956
6390.84,196866
6403.84,200683
7058.0,199376
7058.0,202733
6403.84,184999
7058.0,215920
6403.84,186694
6403.84,188566
6403.84,181914
6403.84,180084
6403.84,185270
7058.0,116332
6390.84,197816
6390.84,193910
6403.84,179742
6403.84,196881
6403.84,179037
6403.84,211597
6403.84,194092
6403.84,181094
6403.84,189673
6403.84,186796
7058.0,215796
7058.0,196940
6390.84,117942
6403.84,184081
7058.0,199939
6403.84,185943
6390.84,208743
6403.84,189592
7058.0,220773
6403.84,111828
6390.84,100677
7058.0,199647
6403.84,173534
6403.84,182137
6403.84,203436
7058.0,213374
6403.84,103585
6403.84,202169
6390.84,92337
6403.84,188039
7058.0,202567
6403.84,171590
6403.84,192165
7058.0,215209
7058.0,219850
7058.0,208860
6390.84,99923
6403.84,196285
6403.84,198577
7058.0,205587
6403.84,180155
7058.0,204258
7058.0,200015
6403.84,189217
6403.84,192678
7058.0,189113
6403.84,204718
6403.84,165564
7058.0,196508
7058.0,214257
6403.84,86115
6403.84,196365
6390.84,187025
7058.0,165207
6403.84,188393
6390.84,183903
6403.84,203332
7058.0,216219
7058.0,212505
6390.84,195401
6403.84,175602
6403.84,135514
6403.84,174764
7058.0,208896
6403.84,206010
6403.84,98550
7058.0,191237
6403.84,181357
6403.84,197192
6403.84,198456
6403.84,205141
6403.84,175553
6390.84,157569
6390.84,173848
6403.84,145182
6403.84,189738
7058.0,113544
7058.0,193225
6390.84,199191
7058.0,184780
6403.84,98954
7058.0,204517
6403.84,95411
7058.0,200086
6390.84,201693
7058.0,225933
7058.0,232346
6403.84,190676
6390.84,190602
7058.0,223268
7058.0,206123
6403.84,185805
6403.84,187871
6403.84,193567
7058.0,98590
6390.84,187986
7058.0,216496
6403.84,175890
6403.84,112491
6403.84,188517
7058.0,111453
7058.0,216228
6390.84,177662
6390.84,206156
7058.0,208914
6403.84,191889
7058.0,207590
7058.0,191725
6403.84,197020
6403.84,168021
6403.84,209188
7058.0,199200
7058.0,199298
6403.84,191811
6403.84,91978
7058.0,195853
6403.84,184760
6403.84,190743
6390.84,74284
6403.84,183212
6403.84,216862
6403.84,174505
6403.84,180905
6403.84,187332
6403.84,183158
6403.84,211961
6403.84,194221
6403.84,83219
7058.0,222291
6403.84,137199
7058.0,222910
6403.84,204899
7058.0,206166
7058.0,209924
6403.84,188504
6403.84,193171
6390.84,172737
6403.84,181376
6403.84,116301
6390.84,170768
6390.84,177686
6403.84,185136
6403.84,191226
6403.84,204595
6403.84,194359
7058.0,206351
6390.84,194680
6403.84,165649
6403.84,189496
7058.0,186530
6403.84,191548
6403.84,173387
6403.84,184501
6403.84,181981
6403.84,206317
6403.84,188300
6403.84,172595
6390.84,199989
7058.0,209928
6403.84,186562
7058.0,221314
6403.84,182192
6403.84,178593
6403.84,204898
6403.84,190267
6390.84,211036
7058.0,164419
6403.84,193274
7058.0,204200
6403.84,177788
6403.84,185775
6403.84,177479
7058.0,202924
6403.84,101976
7058.0,217611
6403.84,86873
7058.0,111690
6403.84,190153
6390.84,206775
6403.84,181053
7058.0,216664
6403.84,198800
6403.84,218705
6390.84,205899
6403.84,199523
6390.84,188916
6403.84,198291
6403.84,171046
6390.84,197115
7058.0,209424
6390.84,188267
7058.0,230054
6403.84,189437
7058.0,217197
7058.0,193658
6390.84,59091
7058.0,211767
7058.0,175172
6403.84,99385
6390.84,168489
6403.84,187667
6403.84,90938
6403.84,181284
6403.84,188423
6390.84,178915
7058.0,110316
6403.84,87453
6403.84,196164
7058.0,191650
7058.0,226813
6390.84,203184
6403.84,181953
6403.84,88281
6390.84,202216
7058.0,174872
6403.84,205226
6403.84,180968
6403.84,184827
6390.84,170846
6390.84,192995
6403.84,178027
7058.0,225389
7058.0,234108
7058.0,217625
6403.84,184849
6403.84,91799
6403.84,200879
6403.84,200482
6403.84,207544
6403.84,209089
7058.0,109463
6390.84,201514
7058.0,225512
7058.0,118387
6390.84,208107
6403.84,190037
7058.0,213143
6403.84,162501
7058.0,218054
7058.0,213935
7058.0,200143
7058.0,214373
7058.0,211279
7058.0,203856
6403.84,188940
6403.84,93916
6403.84,194564
7058.0,197677
6403.84,144075
6403.84,188946
6403.84,199633
