Energia_eV,Electrones
6390.84,153
6403.84,364
6390.84,26
7058.0,506
7058.0,64
6390.84,164
6403.84,83
7058.0,140
6390.84,32
6403.84,83
6403.84,110
6390.84,264
6403.84,561
6403.84,68
6403.84,592
6390.84,109
6390.84,74
6403.84,543
6403.84,809
6390.84,236
6403.84,359
6403.84,854
6390.84,439
6403.84,441
6403.84,163
6403.84,110
6390.84,401
6403.84,157
6403.84,577
6403.84,177
6390.84,818
6403.84,531
6403.84,427
7058.0,83
7058.0,423
6403.84,481
6403.84,16
7058.0,110
6403.84,161
6403.84,112
6390.84,507
6403.84,450
7058.0,63
6390.84,841
6390.84,28
7058.0,8
6403.84,350
6403.84,121
6403.84,276
7058.0,380
6403.84,640
6403.84,51
6403.84,49
6403.84,36
6390.84,879
7058.0,416
6390.84,17
6403.84,414
6403.84,25
7058.0,227
6403.84,530
6390.84,106
6403.84,339
7058.0,486
6390.84,812
6403.84,110
6403.84,28
6403.84,23
7058.0,205
6403.84,242
7058.0,7
6403.84,593
6403.84,546
6403.84,466
6403.84,203
7058.0,492
6403.84,383
6403.84,138
6390.84,416
6403.84,833
7058.0,26
6403.84,307
7058.0,528
6403.84,278
7058.0,322
6403.84,509
6390.84,382
6403.84,606
6403.84,17
7058.0,153
6403.84,861
6390.84,62
6403.84,425
6390.84,467
6403.84,148
7058.0,484
6403.84,337
6403.84,275
6403.84,392
6403.84,96
6403.84,301
6403.84,4
6403.84,226
6390.84,489
7058.0,149
7058.0,560
7058.0,685
6403.84,66
7058.0,37
7058.0,150
6403.84,77
7058.0,451
6403.84,162
6403.84,435
6390.84,229
6403.84,198
6403.84,10
6403.84,566
7058.0,552
6403.84,764
6390.84,441
6403.84,803
6390.84,421
7058.0,579
6403.84,1016
7058.0,134
7058.0,98
6403.84,118
6390.84,418
6403.84,815
7058.0,142
6403.84,174
7058.0,377
6403.84,214
6403.84,95
6390.84,726
7058.0,274
7058.0,136
7058.0,141
6403.84,12
6403.84,492
6403.84,39
7058.0,63
6403.84,480
6403.84,626
6390.84,389
6403.84,59
7058.0,462
6403.84,16
6390.84,69
7058.0,53
7058.0,103
6403.84,410
7058.0,393
7058.0,288
6390.84,405
7058.0,921
6403.84,102
6403.84,26
6403.84,376
6403.84,9
6390.84,460
6403.84,852
6403.84,131
6403.84,450
7058.0,48
6403.84,476
6403.84,522
6403.84,148
6403.84,517
6390.84,566
6403.84,36
7058.0,561
7058.0,461
6390.84,59
6403.84,89
6403.84,505
6403.84,270
6403.84,147
6403.84,860
6403.84,533
7058.0,495
6403.84,104
7058.0,14
6403.84,43
7058.0,349
7058.0,169
6390.84,424
6403.84,419
6390.84,225
6403.84,53
6403.84,21
6403.84,982
6403.84,224
6403.84,641
6403.84,584
6403.84,270
6403.84,76
6403.84,240
6390.84,344
7058.0,522
6403.84,173
7058.0,295
6403.84,9
6390.84,931
6403.84,561
6390.84,933
7058.0,30
7058.0,417
6403.84,486
6403.84,72
6403.84,8
6403.84,307
6403.84,263
7058.0,134
7058.0,52
6390.84,777
7058.0,227
6403.84,183
6403.84,9
7058.0,910
7058.0,88
6403.84,529
6403.84,636
7058.0,564
6390.84,6
6390.84,274
7058.0,529
7058.0,305
7058.0,127
6403.84,32
6390.84,282
6403.84,35
6390.84,467
6390.84,295
7058.0,740
7058.0,488
7058.0,899
6403.84,268
6390.84,27
6403.84,35
6403.84,631
6390.84,41
7058.0,158
6403.84,117
7058.0,5
7058.0,620
6403.84,332
6403.84,311
7058.0,485
6390.84,531
7058.0,102
6390.84,525
6390.84,72
6403.84,522
6403.84,98
7058.0,760
6390.84,167
6403.84,75
7058.0,252
6403.84,201
6403.84,371
7058.0,577
6403.84,199
6403.84,269
6403.84,9
7058.0,89
7058.0,55
6403.84,319
7058.0,345
6403.84,156
7058.0,11
6403.84,411
6403.84,677
6390.84,17
7058.0,28
6390.84,355
6403.84,96
6390.84,14
7058.0,7
6403.84,35
7058.0,684
6403.84,268
6403.84,457
6390.84,459
6390.84,297
6403.84,347
6403.84,146
7058.0,1
6403.84,74
6390.84,41
6390.84,118
6403.84,501
6403.84,261
7058.0,35
6403.84,504
6403.84,481
6403.84,63
7058.0,765
6390.84,377
6390.84,508
6403.84,546
6390.84,16
7058.0,182
6403.84,378
6403.84,761
6403.84,825
7058.0,16
7058.0,38
6403.84,708
7058.0,110
6403.84,254
6390.84,311
6403.84,911
7058.0,114
6403.84,398
6403.84,101
6403.84,283
6403.84,162
6390.84,563
6403.84,798
6403.84,6
6403.84,451
6403.84,569
6403.84,846
7058.0,296
6403.84,449
6403.84,36
7058.0,276
7058.0,361
6390.84,370
7058.0,659
6403.84,145
7058.0,377
6403.84,15
7058.0,570
7058.0,32
6390.84,662
6403.84,2
7058.0,655
7058.0,106
7058.0,47
6403.84,853
6403.84,773
6403.84,112
6390.84,725
7058.0,52
7058.0,293
6403.84,552
6403.84,12
6403.84,324
7058.0,24
6403.84,428
6403.84,306
6390.84,451
7058.0,206
7058.0,112
6403.84,74
6390.84,56
6403.84,40
6403.84,635
6403.84,111
6390.84,287
6403.84,329
7058.0,660
7058.0,935
6403.84,402
7058.0,217
6403.84,3
6403.84,4
6403.84,841
6403.84,39
6403.84,895
7058.0,473
6403.84,401
6403.84,77
6390.84,53
6403.84,618
7058.0,873
7058.0,578
7058.0,49
6403.84,520
6390.84,409
6403.84,71
7058.0,698
6390.84,14
7058.0,121
6403.84,176
6403.84,516
7058.0,357
6403.84,935
6403.84,456
7058.0,217
6390.84,246
7058.0,42
6403.84,363
6403.84,540
6403.84,514
7058.0,350
6403.84,338
7058.0,710
7058.0,524
7058.0,543
7058.0,193
7058.0,760
6403.84,245
6403.84,53
7058.0,76
6403.84,470
6403.84,502
6403.84,489
6403.84,136
6390.84,318
7058.0,276
7058.0,259
7058.0,448
6403.84,610
6403.84,90
7058.0,78
6403.84,17
6403.84,457
7058.0,50
6403.84,626
6403.84,63
6403.84,875
6403.84,2
6390.84,821
6403.84,120
6403.84,92
7058.0,23
6403.84,47
6403.84,788
6403.84,221
6403.84,737
7058.0,87
6403.84,9
6403.84,109
6403.84,56
6403.84,98
6403.84,238
6403.84,69
6403.84,43
6403.84,80
6403.84,537
6403.84,191
6390.84,315
7058.0,69
7058.0,47
6403.84,684
6403.84,153
6390.84,119
7058.0,557
7058.0,228
7058.0,222
6403.84,604
6390.84,439
6390.84,339
7058.0,77
6403.84,824
7058.0,615
7058.0,115
6403.84,261
6390.84,420
6403.84,46
6403.84,317
7058.0,520
6403.84,922
6403.84,366
6403.84,744
6403.84,538
6403.84,62
6403.84,717
7058.0,158
6403.84,116
6403.84,617
6390.84,299
6403.84,505
7058.0,542
6403.84,466
6403.84,170
6403.84,47
6403.84,272
6403.84,321
6403.84,593
6403.84,525
6403.84,306
6403.84,12
6403.84,91
7058.0,399
7058.0,42
6390.84,726
6403.84,70
6403.84,403
6403.84,45
6390.84,280
6403.84,528
7058.0,382
7058.0,525
6403.84,520
7058.0,991
