Energia_eV,Electrones
7058.0,185422
7058.0,204044
6403.84,190930
6403.84,86288
6403.84,93778
6403.84,192542
7058.0,218961
6403.84,207674
6403.84,192319
7058.0,233420
7058.0,231675
6403.84,181348
6403.84,103966
6403.84,102945
6403.84,189369
6403.84,198665
6403.84,163617
6390.84,181386
6403.84,188918
6390.84,213784
6403.84,98130
6390.84,180998
6403.84,176486
7058.0,202199
6403.84,183617
7058.0,222816
6403.84,209092
6403.84,186442
7058.0,100012
6403.84,196275
7058.0,231190
6403.84,175792
6403.84,188848
6403.84,190816
7058.0,215507
6403.84,174751
7058.0,189431
6403.84,195998
6390.84,169682
6403.84,194992
6403.84,193462
6403.84,188766
6403.84,177655
6403.84,180571
6403.84,192378
6403.84,169601
6390.84,188461
6403.84,177833
6390.84,98079
6403.84,184069
7058.0,228696
7058.0,203713
7058.0,226223
6403.84,195850
6403.84,181882
6390.84,214533
7058.0,196378
6403.84,181635
7058.0,210288
6403.84,94300
6403.84,199968
6390.84,186998
6390.84,188453
7058.0,204405
7058.0,222250
7058.0,197034
7058.0,193791
7058.0,193004
7058.0,226501
6403.84,184292
6403.84,183279
7058.0,221990
6390.84,178082
6403.84,101039
6403.84,92366
6403.84,179010
7058.0,203913
6390.84,196472
6403.84,190641
6403.84,170399
6403.84,210113
6390.84,181914
6403.84,192534
6403.84,196601
6403.84,168956
7058.0,198893
7058.0,222614
6390.84,92356
6403.84,195292
6403.84,181835
6390.84,184528
7058.0,217173
7058.0,195163
6403.84,198309
7058.0,210121
6403.84,202327
6403.84,194366
6403.84,201518
6403.84,171274
7058.0,225898
6390.84,205199
7058.0,213633
7058.0,195707
6403.84,191103
6403.84,186551
6390.84,186234
6403.84,194338
7058.0,212311
6403.84,196999
6403.84,197842
7058.0,199095
6403.84,187696
6403.84,168703
6403.84,188709
6390.84,198432
6403.84,171394
7058.0,221746
6390.84,192716
7058.0,212450
6403.84,173794
6390.84,190089
6403.84,195522
6390.84,195167
6403.84,170294
7058.0,217883
7058.0,201322
6403.84,189852
7058.0,201220
7058.0,211669
6390.84,210791
6403.84,185379
7058.0,180596
6403.84,98058
6403.84,84790
6403.84,179784
6390.84,177442
7058.0,212659
6403.84,186523
6403.84,191670
7058.0,198453
6403.84,199407
6403.84,204110
6403.84,183276
6403.84,195846
6390.84,173260
6403.84,177350
7058.0,195294
6403.84,195466
6403.84,182342
7058.0,222075
6403.84,204691
6403.84,185720
6403.84,188026
6403.84,131556
6390.84,198913
7058.0,210419
6403.84,208873
6403.84,193244
6390.84,200881
7058.0,185820
6390.84,194101
6390.84,102677
6403.84,98346
6403.84,182964
6403.84,97003
6403.84,187707
6390.84,165899
7058.0,217052
7058.0,198348
6403.84,211308
6403.84,186330
6403.84,163410
7058.0,212911
6403.84,172986
7058.0,213491
6403.84,181027
