Evento,Electrones_Finales_Anodo
1,39569360.26208835
2,35194876.45753832
3,31283748.74122958
4,32918249.108055335
5,23318782.07743484
6,30938404.004660815
7,31017399.854474723
8,42832897.505261175
9,29147510.4631743
10,31092242.374201026
11,47722860.03492053
12,29730680.001377776
13,34147074.14512063
14,20894596.91561783
15,84843824.69355139
16,32528415.70380894
17,29489167.934825297
18,27681519.00076967
19,24943761.663897447
20,24920138.463256087
21,20740670.258500125
22,19518436.909509216
23,24517411.370160706
24,66056337.99011804
25,33835093.3961829
26,40875427.36353748
27,23755500.778521158
28,26312074.162240397
29,29954032.004034217
30,34905561.079967305
31,37738677.787421845
32,64811461.85708979
33,27888661.822817594
34,24015358.56054032
35,26425036.83805682
36,20517699.746663366
37,35156734.355300695
38,47185737.50055204
39,28042514.080490936
40,22434330.40683373
41,34628829.11379627
42,23804260.630135752
43,24464885.92780459
44,54681123.48926916
45,35772796.257843144
46,28129603.606156655
47,18914601.027195934
48,58808376.85041187
49,27155441.569267597
50,24550151.969317548
51,35271678.65443066
52,38957512.912920214
53,26110405.52457261
54,17931126.287707016
55,36999216.65964092
56,38724360.0877753
57,41299087.16235234
58,22230771.35773882
59,29787323.510019366
60,31655049.24295558
61,21974779.816988807
62,44088646.16227075
63,30982569.248360325
64,24702148.62486552
65,22954347.215473223
66,24860225.0963306
67,21822065.747695424
68,28327826.588767644
69,28917536.825423382
70,23330284.028156642
71,33086890.52688894
72,35067282.3473361
73,31121950.856299434
74,29630920.225473948
75,23621843.082572415
76,27829718.742343284
77,23450927.33850085
78,35078602.353966035
79,24029671.338741448
80,34517954.673306264
81,21394182.611476757
82,24278738.944416538
83,27724012.47695345
84,62635790.02208446
85,28507564.750756502
86,23893243.70897853
87,26988353.333031908
88,29730329.417873353
89,28620960.779228207
90,71759396.7775092
91,26346679.385137055
92,25403811.682905547
93,66148537.83560525
94,19142789.46229088
95,23130522.714183137
96,32094353.27587345
97,22938848.276680578
98,23875403.627182588
99,33945995.417377055
100,34584643.35623369
101,36507596.40440193
102,33272910.518154696
103,31798457.849651344
104,112110049.91535291
105,38563466.206469394
106,41803438.93622559
107,34662117.4981094
108,25832705.144315
109,21531247.344802715
110,26138881.09441364
111,42117638.00965114
112,19994848.88573315
113,36862152.2362709
114,22248188.4983763
115,24554746.879583295
116,31124261.3298151
117,44551785.516502365
