Energia_eV,Electrones
102175,249433
106465,484864
102175,302463
106465,294571
102175,317542
102175,163471
106465,196014
106465,237222
106465,141100
119930,619469
106465,312040
106465,267562
106465,76224
106465,205785
106465,358694
102175,373591
102175,140385
102175,196522
119930,331142
102175,577154
119930,176145
102175,121479
106465,214455
119930,65477
106465,513978
102175,225218
106465,346129
106465,375363
102175,200677
106465,338086
102175,333655
123560,265268
102175,173064
106465,147838
102175,145273
119930,238458
106465,484882
119930,142130
106465,263242
102175,146963
106465,323106
102175,47041
119930,286297
102175,190632
102175,248101
106465,778063
106465,348356
102175,357527
106465,420706
106465,283475
106465,175082
106465,452769
119930,287560
102175,247382
106465,307332
119930,234431
106465,401678
102175,282110
106465,405312
102175,319969
106465,363052
106465,322533
106465,210594
102175,141491
102175,202990
102175,321920
119930,300832
102175,421361
102175,145540
106465,233474
106465,236053
106465,192959
106465,573411
102175,140865
102175,363000
119930,152531
106465,17929
106465,123697
106465,568296
106465,107636
106465,231317
106465,300667
106465,188988
106465,334141
106465,439180
102175,418211
106465,204770
106465,130464
106465,132416
106465,208644
106465,142776
102175,299135
106465,240863
106465,160776
102175,224395
102175,538428
123560,250828
119930,437132
106465,454594
106465,176294
106465,166916
102175,197809
106465,263946
106465,107133
106465,318295
106465,271937
102175,421641
119930,291736
106465,381638
106465,134561
102175,89106
106465,230598
106465,196516
102175,420338
123560,175088
106465,248146
106465,363511
123560,168993
102175,220610
102175,858190
106465,223973
102175,410671
102175,53673
106465,163821
102175,185669
106465,205103
102175,124314
106465,323493
106465,258449
102175,300421
102175,27014
106465,317635
106465,223820
102175,173284
102175,152254
102175,156135
106465,339952
119930,135470
106465,244074
102175,290250
106465,58558
106465,137213
106465,321958
102175,204839
106465,211104
106465,300359
102175,195752
102175,247983
106465,359385
123560,309741
102175,148128
106465,185910
106465,331810
106465,198244
106465,307369
102175,144972
102175,403879
106465,321029
106465,153675
102175,120160
102175,497852
106465,280406
102175,274895
102175,136554
106465,349401
106465,174144
106465,143144
102175,406863
106465,565956
106465,209887
106465,162596
106465,465943
106465,175916
102175,241452
102175,137910
106465,367819
106465,213762
106465,272819
106465,115848
102175,162442
106465,337252
106465,141930
102175,122710
123560,311988
106465,113364
119930,253084
106465,302038
102175,422598
102175,31980
102175,175806
106465,269954
123560,279083
106465,391650
102175,228346
106465,182620
102175,573960
102175,217129
106465,318870
106465,197899
106465,16489
102175,225465
106465,179033
106465,72351
106465,136242
106465,41959
106465,229650
119930,268661
102175,431135
106465,183535
102175,68956
106465,239018
102175,215043
106465,341594
106465,163379
102175,209462
102175,180853
123560,294829
106465,307413
106465,308005
102175,496828
102175,141221
106465,342801
106465,380191
106465,313550
106465,338429
106465,334032
119930,338944
106465,233142
106465,126765
106465,125884
102175,261482
106465,297776
106465,241288
106465,82970
106465,421663
102175,292972
106465,277938
106465,210972
106465,20922
102175,154110
106465,166588
102175,445562
102175,5768
102175,134558
106465,204125
106465,304481
102175,306890
102175,203861
106465,134845
102175,156741
106465,268611
102175,137043
106465,140976
106465,174646
106465,258229
123560,281127
106465,340667
106465,229442
106465,247862
106465,216028
106465,215998
106465,281780
106465,216831
102175,486818
102175,308124
102175,172831
106465,233752
106465,265539
102175,299491
102175,370079
119930,191343
106465,230623
106465,325777
102175,298100
102175,171490
102175,215188
102175,218536
106465,183527
119930,167538
106465,524713
106465,172335
106465,420298
106465,311263
102175,359900
119930,288653
106465,483342
119930,151856
102175,197135
106465,57499
106465,316914
106465,234241
102175,369181
102175,471187
106465,31898
106465,130803
106465,181415
106465,15818
102175,281270
106465,240978
106465,276693
106465,254923
106465,230575
106465,56036
106465,381735
102175,306852
106465,340374
106465,389781
106465,19807
102175,177899
123560,235540
106465,257005
106465,101643
102175,233961
106465,274894
102175,319777
106465,160071
102175,487076
102175,220507
102175,183352
119930,375694
102175,501465
106465,265934
102175,286062
102175,205443
106465,334624
119930,210058
102175,201759
106465,276174
106465,305558
106465,308498
106465,604146
102175,237237
119930,378213
102175,78968
106465,195713
106465,135622
106465,435050
106465,173302
106465,211617
106465,144838
102175,239240
106465,187344
102175,340794
106465,201076
102175,331420
102175,289217
106465,261594
119930,267771
106465,267862
106465,223706
106465,314858
106465,174369
106465,156337
102175,222911
106465,154041
106465,185387
106465,106856
106465,159313
102175,231977
106465,174753
106465,156139
102175,320693
106465,319185
102175,370418
106465,44948
106465,214382
102175,241915
106465,317007
106465,290500
106465,302879
106465,223736
106465,212046
106465,176354
106465,261942
102175,151427
102175,307381
106465,190715
106465,447508
106465,95731
123560,176285
119930,179802
106465,369249
102175,300228
106465,134351
106465,66428
106465,135277
106465,169465
106465,33714
102175,313258
106465,272529
106465,412576
119930,165709
102175,371104
106465,359543
106465,240354
106465,128913
102175,178375
102175,297968
106465,137788
106465,411214
119930,176711
123560,352708
106465,228201
102175,151959
102175,405864
106465,401421
119930,87653
106465,497183
106465,271507
102175,122620
102175,128680
106465,11922
102175,190184
102175,179360
106465,170163
106465,285375
106465,404185
106465,39116
102175,127803
102175,85913
106465,118835
106465,992
102175,270668
106465,249301
106465,178703
106465,360537
106465,259310
106465,159741
106465,264861
106465,304418
102175,145090
