Energia_eV,Electrones
123560,289713
106465,216235
102175,373723
106465,322393
123560,169989
123560,189626
102175,95712
123560,398166
102175,162237
119930,410335
106465,92815
123560,172636
106465,359992
106465,234024
102175,154375
106465,362178
123560,238339
106465,230463
119930,142185
102175,74748
106465,141555
106465,117887
102175,149781
119930,353344
123560,220648
123560,186560
102175,203501
102175,760627
102175,134977
106465,177985
106465,382534
106465,259682
102175,275605
102175,334844
119930,252376
123560,340125
119930,19068
102175,651318
102175,193755
106465,349331
119930,118933
106465,257755
123560,94164
106465,313889
106465,262019
123560,235448
106465,601791
102175,279784
102175,514540
102175,353823
106465,338911
119930,292641
119930,204893
102175,235288
102175,381490
123560,200801
102175,125258
102175,161087
102175,193857
119930,254401
106465,35668
102175,231556
106465,124810
102175,329330
102175,142327
106465,7115
102175,73679
119930,294551
102175,353125
106465,422597
102175,200223
102175,200746
102175,154207
106465,334685
123560,152135
102175,194036
106465,158158
106465,40117
106465,465849
106465,381478
106465,327959
106465,237035
102175,380041
123560,403376
106465,7209
119930,248236
106465,150155
119930,265026
102175,249814
102175,377235
106465,128681
106465,208297
102175,273716
123560,331369
106465,176722
102175,334068
106465,212735
123560,92599
106465,225495
102175,282006
123560,137202
106465,196177
102175,367556
102175,199000
119930,160430
106465,104014
106465,212733
106465,121705
102175,201341
102175,396557
123560,350722
102175,37670
106465,28770
102175,398019
102175,271185
102175,224069
123560,317933
106465,259226
102175,336238
106465,132523
102175,314737
102175,155859
102175,335092
106465,341269
102175,470941
106465,309769
102175,25206
106465,252902
106465,166305
102175,395288
106465,290645
106465,408818
102175,159190
119930,375374
123560,206755
106465,307733
119930,308051
106465,272827
119930,155710
119930,64880
106465,303272
102175,211311
106465,434256
106465,82266
106465,260627
119930,93795
102175,445708
106465,268783
106465,169359
106465,344166
102175,231486
119930,348907
102175,261402
102175,169699
102175,278672
102175,296951
119930,213081
106465,144060
106465,184651
106465,422220
102175,243201
106465,63051
102175,333531
106465,30938
119930,246703
102175,303294
119930,248356
106465,424241
123560,202375
106465,249733
106465,410796
106465,435297
102175,126994
102175,413404
106465,74762
106465,24898
102175,544532
106465,384910
102175,381684
106465,303148
102175,254234
119930,161382
106465,229462
106465,23211
106465,180166
119930,350025
106465,208023
119930,18830
123560,213709
106465,291642
102175,396211
106465,292957
106465,270845
123560,278933
106465,186384
106465,473721
123560,89936
102175,209675
106465,224774
123560,311820
102175,389287
123560,312319
119930,305208
102175,261163
106465,381463
102175,228411
119930,419996
123560,304210
123560,222242
106465,367403
102175,200021
102175,368439
106465,142576
119930,713182
102175,341306
106465,321862
102175,263876
102175,130005
106465,142818
123560,160340
106465,114709
102175,190777
106465,280825
106465,207921
123560,175053
123560,269786
123560,169321
106465,213668
102175,183624
106465,147046
123560,145821
119930,301622
119930,358199
123560,327782
106465,212057
102175,262539
106465,268411
119930,32768
119930,178054
106465,420573
106465,16220
102175,23781
106465,222072
119930,334513
102175,264671
102175,127574
102175,214730
102175,348708
123560,200159
106465,244584
123560,258277
102175,222077
102175,164457
102175,224851
102175,249774
106465,114681
106465,224293
106465,146486
106465,137565
102175,144419
106465,312989
102175,157928
102175,158216
119930,396238
123560,225116
106465,314045
102175,256182
106465,182382
102175,288118
102175,246771
123560,237573
119930,168423
102175,274291
123560,27144
102175,408515
106465,318148
102175,394836
102175,224358
102175,437223
106465,291497
106465,328768
106465,263084
102175,280327
106465,248643
119930,49937
106465,145556
119930,41336
106465,223050
106465,222714
106465,52302
106465,125958
106465,145275
106465,185401
106465,396789
102175,6487
106465,394925
106465,110483
102175,159675
106465,150787
102175,367137
106465,525488
106465,224115
106465,139342
106465,190794
123560,149526
102175,221146
102175,268425
102175,256544
106465,268413
106465,185590
106465,290433
102175,316905
106465,38488
106465,251565
106465,199501
102175,384114
102175,234244
106465,42457
106465,354825
102175,327583
102175,216443
106465,379492
102175,161871
106465,428865
106465,276623
102175,166402
102175,396019
106465,385642
102175,273456
106465,108070
102175,393646
106465,204620
102175,231968
102175,343306
106465,145026
106465,41704
106465,224406
102175,267903
123560,151766
102175,297688
106465,231287
119930,266681
102175,196372
106465,200461
102175,373980
102175,320332
119930,371307
106465,127526
106465,364896
119930,348555
106465,225209
123560,130845
123560,99983
119930,123145
106465,372854
106465,197355
106465,253554
106465,392699
102175,138951
106465,234557
123560,137665
102175,239767
102175,7985
102175,52711
102175,188861
102175,118224
106465,294731
102175,177351
106465,173040
102175,258112
102175,402617
119930,7085
102175,417012
106465,122200
102175,375577
106465,242199
102175,3636
123560,105587
102175,188734
102175,176934
106465,318822
106465,265369
106465,132159
106465,154158
119930,134492
102175,329744
102175,173709
119930,105885
106465,135642
106465,184859
102175,113604
119930,269770
102175,188574
119930,36162
102175,1088666
102175,274298
102175,525407
119930,295431
119930,137914
119930,99068
119930,224800
119930,280235
119930,243960
119930,59532
123560,142067
106465,316050
106465,305537
106465,176939
102175,377266
106465,199283
102175,390449
106465,260998
119930,177415
102175,130693
102175,308185
119930,444175
102175,118949
106465,73646
106465,248030
102175,377574
102175,142489
123560,163082
102175,198171
123560,90454
102175,166856
123560,175659
106465,139683
106465,315564
119930,294086
102175,294231
106465,14896
106465,256452
119930,297908
119930,407845
106465,205404
102175,281518
102175,282887
102175,120589
102175,485493
102175,216227
