Energia_eV,Electrones
6403.84,145448
6390.84,264840
6390.84,271802
6390.84,246793
6403.84,252336
7058.0,273717
7058.0,291258
7058.0,280930
6390.84,233877
7058.0,285442
7058.0,290726
6403.84,250924
6403.84,272965
6390.84,256959
6403.84,243621
6403.84,233027
6403.84,245460
6403.84,245021
7058.0,293285
6403.84,131235
7058.0,258439
7058.0,272989
6390.84,267945
7058.0,289336
6403.84,245769
7058.0,298076
6403.84,239341
7058.0,275787
7058.0,258633
6403.84,228932
6403.84,254069
7058.0,262778
7058.0,265929
7058.0,281602
6403.84,275792
6390.84,237440
6403.84,248852
7058.0,285750
7058.0,82963
6390.84,133172
6403.84,263689
6403.84,225108
6403.84,253418
7058.0,293998
6403.84,243642
7058.0,229823
6403.84,251089
6403.84,260233
6403.84,253215
7058.0,263604
6403.84,253010
6403.84,267897
6390.84,256610
7058.0,278716
6390.84,257274
7058.0,254986
7058.0,303124
6390.84,267177
6403.84,253773
7058.0,277822
6403.84,261095
7058.0,299573
6390.84,233196
6403.84,122297
6403.84,126928
7058.0,289515
6403.84,237492
6403.84,242533
7058.0,278628
6403.84,259596
6403.84,246037
7058.0,237339
7058.0,276678
7058.0,151070
6390.84,240054
6390.84,246403
7058.0,292531
7058.0,308630
6403.84,257697
7058.0,290095
7058.0,273966
6390.84,271049
6403.84,275998
7058.0,277549
6403.84,241518
6403.84,276242
6403.84,234578
6390.84,264740
6403.84,15350
7058.0,301824
6390.84,269264
6403.84,264331
7058.0,278480
6403.84,280019
7058.0,273270
7058.0,299187
7058.0,287020
7058.0,262296
6403.84,252483
7058.0,276059
6403.84,239331
6403.84,276572
6403.84,252656
6390.84,236437
6390.84,256269
6390.84,116837
6403.84,253488
6403.84,252562
6390.84,260078
6403.84,257768
6403.84,240209
7058.0,283109
6403.84,244078
7058.0,269865
6403.84,239069
6390.84,270358
6403.84,242104
6403.84,262623
6403.84,254019
6403.84,263037
6403.84,268922
6390.84,257541
7058.0,157329
6403.84,253802
6403.84,246262
6403.84,257242
6390.84,235956
7058.0,267439
6390.84,258812
6403.84,252271
6390.84,252557
6403.84,243085
7058.0,268188
6403.84,140916
6403.84,245278
6403.84,274044
7058.0,282305
6403.84,263253
6390.84,231287
6403.84,254937
6403.84,241099
7058.0,158652
6403.84,270068
6403.84,259461
7058.0,268134
6403.84,264107
6403.84,278587
6403.84,265321
6403.84,280922
6403.84,233747
6403.84,262262
6390.84,243858
6403.84,272963
6403.84,137354
6403.84,261726
6403.84,247918
6403.84,237538
6390.84,264741
6403.84,139344
7058.0,278234
6403.84,243625
6403.84,244518
6403.84,246011
6403.84,240753
7058.0,282465
7058.0,293895
6390.84,256998
7058.0,298602
6403.84,41949
6403.84,247705
7058.0,170617
6403.84,278178
6403.84,227172
6403.84,275725
6403.84,149913
6403.84,256835
7058.0,281978
7058.0,276626
7058.0,310354
6403.84,240182
6403.84,279934
6403.84,281484
7058.0,278949
7058.0,245567
6403.84,250589
6390.84,254027
6403.84,253629
6403.84,253464
6403.84,266853
6403.84,264993
6403.84,259319
6390.84,262346
6403.84,258927
6403.84,237687
6403.84,260821
6403.84,287653
6403.84,264543
7058.0,157772
6403.84,260990
6403.84,257672
6403.84,243557
6390.84,261408
6403.84,244940
6403.84,246559
6390.84,253417
6390.84,261861
7058.0,269627
6403.84,274247
6390.84,273612
6390.84,252974
6403.84,225440
7058.0,149522
6403.84,122237
6403.84,253069
7058.0,269293
6390.84,260848
7058.0,290920
6390.84,263912
6403.84,253114
6403.84,261404
6403.84,122675
6403.84,246689
6390.84,235373
6403.84,242025
7058.0,290227
6403.84,263669
6403.84,249149
6403.84,232750
6403.84,261990
7058.0,153776
7058.0,283203
7058.0,269207
6403.84,250866
7058.0,294022
6390.84,255213
7058.0,278143
6403.84,242472
6390.84,242816
6403.84,246094
6390.84,259709
6403.84,263911
6403.84,254685
6403.84,231711
7058.0,261338
7058.0,287013
7058.0,286893
7058.0,280897
7058.0,278102
6403.84,257111
6390.84,269219
6403.84,265207
6403.84,252931
6403.84,250939
6403.84,274581
7058.0,277995
6403.84,264221
6390.84,265697
7058.0,302084
6403.84,257887
6390.84,254331
6403.84,254426
7058.0,281999
6403.84,241791
7058.0,262620
7058.0,277239
6403.84,240190
6390.84,253465
7058.0,114362
6403.84,129124
7058.0,291061
7058.0,295775
6403.84,272069
6390.84,253043
7058.0,289839
6390.84,255406
7058.0,287435
6390.84,266943
7058.0,269171
7058.0,301417
6403.84,269095
6403.84,241781
6403.84,133342
6403.84,234994
6403.84,243813
6403.84,242243
7058.0,267903
6403.84,246839
6403.84,256560
7058.0,282120
6390.84,255772
7058.0,152463
6390.84,264383
6403.84,253583
7058.0,289724
6403.84,247549
6403.84,246362
6390.84,132436
7058.0,285966
7058.0,270319
7058.0,279493
6390.84,264913
7058.0,318833
6403.84,246043
6403.84,239894
6403.84,120522
6390.84,274132
7058.0,304546
7058.0,283430
6403.84,264787
7058.0,291259
7058.0,263365
6390.84,127978
7058.0,162681
6390.84,246895
6390.84,249287
6390.84,260938
7058.0,262052
6390.84,255956
7058.0,289234
6403.84,236805
6403.84,273048
6403.84,230154
7058.0,290661
7058.0,306549
6403.84,255511
6403.84,280928
7058.0,268322
6403.84,280622
6403.84,252334
7058.0,284638
6403.84,224308
6390.84,252186
6403.84,270030
6403.84,265921
6403.84,268304
6403.84,237886
6403.84,233971
6403.84,243793
6403.84,268261
6390.84,255784
7058.0,34652
6403.84,257290
6403.84,123172
7058.0,277989
7058.0,277158
6403.84,234990
6390.84,254506
6390.84,285109
6403.84,254840
6403.84,247530
6403.84,254111
6390.84,259055
6403.84,265134
6403.84,236284
6403.84,249793
6390.84,241008
6403.84,259648
7058.0,273883
6403.84,236375
6403.84,247835
6403.84,245650
6403.84,266698
6390.84,119605
7058.0,228646
7058.0,280916
7058.0,287711
6403.84,244379
6403.84,238530
6390.84,274351
6403.84,263556
7058.0,302456
6403.84,260569
7058.0,295735
6403.84,248470
6403.84,252769
7058.0,284909
6403.84,254055
6403.84,233705
6403.84,250411
6403.84,260682
6403.84,259931
6403.84,245851
7058.0,290927
6403.84,242393
6403.84,239598
6390.84,256840
7058.0,124942
6403.84,260450
6403.84,249376
7058.0,275368
6403.84,261535
6403.84,275923
7058.0,299685
6403.84,265620
6403.84,268266
6403.84,238479
6403.84,240890
7058.0,247222
6403.84,271975
6403.84,261943
6403.84,254831
6390.84,241784
7058.0,280237
6390.84,249723
6403.84,288061
6390.84,236881
7058.0,281313
7058.0,281021
6403.84,273463
7058.0,284096
6403.84,269629
6403.84,268551
6403.84,243486
6403.84,231349
6390.84,233956
6403.84,264968
6403.84,262105
7058.0,303137
7058.0,284105
6403.84,265943
6403.84,225049
6403.84,258585
7058.0,263258
6403.84,262945
6403.84,260422
6403.84,238586
6403.84,230456
6403.84,260896
7058.0,264888
7058.0,275764
6403.84,251199
6403.84,253599
6403.84,261831
6403.84,233654
7058.0,281424
6403.84,248819
6403.84,277931
6403.84,281185
6403.84,242443
6403.84,271292
6403.84,255406
6403.84,275957
7058.0,160890
6403.84,264570
7058.0,275318
6390.84,130799
6403.84,221639
7058.0,302107
7058.0,141837
7058.0,276908
6403.84,259154
7058.0,298801
6403.84,235641
6403.84,249743
6403.84,265279
6403.84,258992
6403.84,260540
7058.0,286240
6403.84,247205
7058.0,267917
7058.0,284961
6403.84,259883
6403.84,267228
6403.84,256051
6403.84,250405
6390.84,260453
6403.84,264482
7058.0,312156
7058.0,295302
6403.84,273836
7058.0,318888
7058.0,278241
6403.84,256058
6403.84,83889
6403.84,264635
7058.0,268784
6390.84,256161
7058.0,296544
6403.84,254625
6403.84,248673
6403.84,264283
6403.84,234641
6403.84,213540
6403.84,249468
7058.0,280487
6390.84,253324
7058.0,150815
6390.84,255711
6403.84,225229
6390.84,128435
7058.0,143425
6403.84,251690
7058.0,159356
7058.0,279255
6403.84,243261
7058.0,291505
6403.84,265066
6390.84,266844
6403.84,234997
6403.84,250726
