Energia_eV,Electrones
6390.84,253779
6390.84,265311
6403.84,254081
6403.84,126864
7058.0,298786
6403.84,267787
6390.84,262213
6403.84,271145
6390.84,275096
7058.0,304138
6403.84,272000
6390.84,249426
6390.84,243334
6390.84,252163
6403.84,133746
6403.84,238257
6403.84,254323
6390.84,245552
6403.84,267136
6403.84,246122
6390.84,260199
6403.84,270673
6403.84,121664
6390.84,247737
7058.0,268387
6403.84,131934
6403.84,264685
6390.84,123917
6403.84,232568
6390.84,245268
7058.0,309134
6390.84,258074
6403.84,267930
6403.84,253724
6403.84,266221
6403.84,280537
6403.84,246400
6403.84,277848
6390.84,258975
7058.0,286446
6403.84,258800
7058.0,298209
6403.84,252660
6390.84,234142
6390.84,131643
6403.84,264487
7058.0,308199
7058.0,136516
6390.84,259309
6403.84,255935
6390.84,72722
7058.0,297598
6390.84,115088
6403.84,256281
6390.84,253145
7058.0,287911
7058.0,282821
7058.0,324902
7058.0,296439
6403.84,121977
6403.84,241293
7058.0,278095
7058.0,250746
6403.84,259258
6390.84,249252
6390.84,264844
7058.0,276596
7058.0,305697
7058.0,271944
6403.84,256768
7058.0,280346
6403.84,260800
6390.84,271605
6403.84,261053
6390.84,183482
6390.84,250442
7058.0,135283
6403.84,243149
6403.84,123946
7058.0,291811
6403.84,239327
7058.0,293603
7058.0,276674
7058.0,279557
6390.84,240250
6403.84,131377
6403.84,253306
7058.0,307262
7058.0,288449
6403.84,116877
6403.84,267528
7058.0,80162
7058.0,305614
6390.84,256941
6390.84,133128
6403.84,253094
7058.0,286341
6403.84,234226
6403.84,139807
7058.0,294369
7058.0,290346
6403.84,261908
6390.84,240365
6403.84,244609
6403.84,254798
6390.84,235841
7058.0,272276
6403.84,266809
6390.84,270589
6403.84,239122
7058.0,291089
6390.84,247681
6403.84,241631
6390.84,262729
6403.84,272909
7058.0,282809
7058.0,153995
6390.84,245363
7058.0,274383
7058.0,253696
6390.84,254884
6390.84,263385
6390.84,249050
7058.0,295112
6403.84,118176
6403.84,265745
7058.0,289044
7058.0,278983
7058.0,273549
7058.0,263940
6390.84,257210
6403.84,270540
6390.84,287649
7058.0,290465
6403.84,253079
6403.84,256610
6403.84,220989
7058.0,280997
6403.84,253912
6403.84,277456
7058.0,277733
7058.0,166600
6403.84,136334
7058.0,274344
7058.0,277296
6403.84,243299
7058.0,273015
7058.0,295058
6403.84,264699
6403.84,258790
7058.0,271389
6403.84,273642
6403.84,231529
6403.84,265812
6403.84,263179
6390.84,244224
7058.0,289243
7058.0,267549
6403.84,261085
6390.84,252766
7058.0,287492
6403.84,260496
6403.84,258849
6403.84,260206
6390.84,252573
6403.84,252079
6403.84,240101
7058.0,306753
6403.84,277032
6390.84,265561
6403.84,248347
7058.0,161008
6390.84,262063
7058.0,293286
6403.84,148158
6403.84,263552
6403.84,243232
6390.84,281877
6403.84,262072
7058.0,278226
6403.84,248706
7058.0,292566
7058.0,295516
7058.0,324371
7058.0,262816
7058.0,282994
7058.0,281485
6403.84,266638
7058.0,307693
6403.84,266824
6403.84,252373
6403.84,248522
6403.84,282412
7058.0,160625
6403.84,247628
7058.0,292301
6390.84,140137
6403.84,230747
6403.84,252254
7058.0,294307
6403.84,268844
6403.84,259975
6403.84,272749
6390.84,254666
7058.0,274658
6403.84,236000
6390.84,252304
7058.0,289176
7058.0,278982
6390.84,251616
7058.0,271642
6390.84,225978
6403.84,118632
7058.0,268291
6390.84,275015
6403.84,241367
6390.84,250634
7058.0,288424
7058.0,284474
7058.0,273842
6390.84,269371
6403.84,280708
6403.84,269468
6403.84,278002
6403.84,240102
7058.0,278231
6390.84,243378
6403.84,283597
6390.84,263409
6403.84,227501
6403.84,258184
7058.0,290009
6403.84,262508
6403.84,243662
6403.84,256586
7058.0,280421
7058.0,279655
6403.84,277926
6403.84,118543
6403.84,131133
6390.84,249727
7058.0,290780
7058.0,268979
6403.84,266071
6403.84,270154
6403.84,272074
6390.84,237822
7058.0,284080
6390.84,277492
6390.84,124055
6403.84,246125
6390.84,252394
6390.84,251071
6403.84,129716
6403.84,266135
6403.84,252208
6403.84,256310
7058.0,228494
6390.84,252418
7058.0,282653
6390.84,256497
6390.84,284095
7058.0,155171
7058.0,257851
7058.0,275286
6403.84,263363
6403.84,261672
7058.0,287460
6390.84,246859
7058.0,160392
6403.84,239174
6403.84,129685
7058.0,289088
6403.84,273985
6403.84,253680
6403.84,254090
6403.84,244258
6403.84,263784
6403.84,221029
7058.0,273970
6390.84,265410
6403.84,281373
7058.0,301811
7058.0,287908
7058.0,278386
7058.0,276598
7058.0,283167
6403.84,235534
7058.0,285468
6403.84,267175
7058.0,294999
6403.84,236993
6390.84,274168
6390.84,132679
6390.84,252602
6390.84,282779
6390.84,135504
6390.84,120851
7058.0,174893
6390.84,251335
6403.84,240886
6403.84,251777
7058.0,277243
6390.84,267374
7058.0,303061
6403.84,246504
7058.0,157737
7058.0,278089
7058.0,295459
6403.84,265865
6403.84,259517
6403.84,252015
6403.84,121067
6403.84,250720
6390.84,262046
6403.84,284187
6390.84,243573
6403.84,122196
6390.84,249255
6403.84,279044
6403.84,240309
6390.84,261604
7058.0,285719
6403.84,247736
6403.84,239753
6403.84,232138
6403.84,254235
6390.84,236190
6403.84,269487
6403.84,272295
7058.0,135100
6403.84,236235
6403.84,247898
7058.0,265561
6390.84,258426
7058.0,285390
6403.84,243295
7058.0,278870
6403.84,252691
6390.84,245830
6390.84,134943
6403.84,237241
6403.84,252630
6390.84,273884
6390.84,23535
6403.84,268537
6390.84,249440
7058.0,280945
7058.0,184750
6403.84,252289
7058.0,287412
6390.84,257975
6390.84,272254
6403.84,234026
6403.84,248251
6403.84,282988
6403.84,246831
6403.84,123266
6403.84,244899
6403.84,268257
6390.84,241756
6403.84,287987
6403.84,259462
6390.84,263846
6403.84,251723
6403.84,266359
6390.84,250035
6390.84,255889
6403.84,285406
7058.0,260937
6403.84,247985
7058.0,277385
6403.84,241970
6403.84,256574
6403.84,264309
6403.84,243940
7058.0,293486
6390.84,245799
7058.0,281297
7058.0,302965
7058.0,71710
6403.84,268061
7058.0,286013
7058.0,287030
7058.0,266183
6403.84,253427
6403.84,246984
6403.84,192693
7058.0,301584
6390.84,274449
6403.84,251813
7058.0,282890
6390.84,248637
6403.84,270322
6403.84,263690
7058.0,256315
6390.84,260702
6403.84,265121
6390.84,114808
7058.0,291240
7058.0,255823
6390.84,295625
6403.84,250159
6403.84,254103
7058.0,295711
6403.84,266827
6390.84,260910
6390.84,256494
6390.84,116209
6390.84,227098
6390.84,242083
6390.84,144749
6403.84,255865
6390.84,165569
6403.84,266899
6403.84,142667
6403.84,99013
6390.84,238818
6403.84,248993
7058.0,309060
6390.84,266511
7058.0,269176
7058.0,270355
7058.0,281753
6403.84,236082
6403.84,268802
6390.84,251333
6403.84,249472
7058.0,307274
6390.84,276591
6403.84,257587
6403.84,238756
6403.84,273312
6403.84,268607
6403.84,258825
6390.84,266572
6390.84,278792
6403.84,30936
7058.0,279713
6403.84,256801
6390.84,253903
6403.84,249194
6403.84,244199
6390.84,264170
6403.84,237825
6403.84,259119
7058.0,299056
7058.0,224295
6403.84,256291
6403.84,225442
7058.0,306265
6403.84,277745
7058.0,277708
6403.84,280382
6403.84,265366
7058.0,296471
6403.84,251411
6403.84,279621
6403.84,265870
6390.84,247244
7058.0,312194
6403.84,269145
6403.84,255080
7058.0,267801
6403.84,279693
6403.84,243815
6403.84,117469
7058.0,263966
7058.0,323394
6390.84,250335
6390.84,257704
6403.84,126532
6403.84,247942
6403.84,280858
6403.84,235726
7058.0,270712
6390.84,251280
6403.84,262587
6403.84,260253
7058.0,295784
6403.84,258046
7058.0,275396
6390.84,241751
