Energia_eV,Electrones
6390.84,190240
6403.84,89954
6390.84,185583
6403.84,175584
6403.84,97184
6390.84,174210
6390.84,19320
6390.84,201669
6390.84,184000
6390.84,201793
6403.84,87347
6403.84,177726
6403.84,177633
6390.84,196867
6403.84,185989
6390.84,179203
6403.84,121161
6403.84,175908
7058.0,210175
6390.84,215594
6403.84,184950
6390.84,193247
6403.84,103738
6403.84,189234
6403.84,172921
6403.84,188277
6390.84,216294
6403.84,192197
7058.0,204715
6390.84,190893
6403.84,110283
6403.84,197870
6403.84,200151
6390.84,185782
6390.84,181712
6390.84,186390
6403.84,173143
6403.84,187239
6403.84,179587
6390.84,188764
6403.84,180815
6403.84,170559
6390.84,200096
6403.84,192268
6403.84,200314
6403.84,187539
6403.84,96007
6403.84,182031
6390.84,190476
6403.84,99945
6403.84,178216
6403.84,181399
6403.84,165566
6403.84,186286
6403.84,201593
6403.84,176307
6403.84,176175
7058.0,235394
6390.84,181228
6403.84,173546
6403.84,187075
6403.84,195011
6390.84,205845
6403.84,192392
6390.84,194727
6390.84,198886
6390.84,103027
6390.84,116046
6403.84,207642
6390.84,184830
6390.84,192345
7058.0,198567
7058.0,170683
6390.84,95147
6390.84,203235
6390.84,179718
7058.0,204025
6390.84,188935
6403.84,172512
6403.84,184475
6403.84,187615
6390.84,184371
6390.84,195067
7058.0,117951
6403.84,185879
6403.84,173599
6390.84,180074
6403.84,190506
6390.84,84258
6390.84,178535
