Energia_eV,Electrones
6403.84,489
6403.84,485
6403.84,440
6403.84,493
6390.84,467
7058.0,500
7058.0,480
7058.0,494
6403.84,490
6403.84,423
6403.84,459
6403.84,441
6403.84,475
6403.84,387
6403.84,434
7058.0,512
6403.84,452
7058.0,560
6403.84,187
7058.0,523
6403.84,555
7058.0,475
6403.84,434
7058.0,510
7058.0,511
7058.0,500
7058.0,521
6403.84,427
7058.0,496
6403.84,426
6403.84,487
7058.0,526
7058.0,476
6403.84,413
7058.0,532
6390.84,560
6403.84,503
6390.84,427
6403.84,559
6390.84,442
6403.84,481
6390.84,524
7058.0,521
6403.84,448
7058.0,485
7058.0,521
7058.0,448
6390.84,434
7058.0,564
6403.84,465
6403.84,407
6390.84,430
6403.84,457
7058.0,521
7058.0,482
7058.0,499
7058.0,416
7058.0,559
6390.84,452
7058.0,456
6403.84,530
6403.84,200
7058.0,488
6403.84,434
6403.84,439
7058.0,396
6403.84,469
6403.84,490
6403.84,212
6403.84,439
6403.84,501
6390.84,403
6403.84,446
7058.0,526
7058.0,566
6403.84,463
6403.84,520
6403.84,411
7058.0,474
6390.84,475
6403.84,462
7058.0,586
6403.84,441
6390.84,401
7058.0,466
7058.0,548
6390.84,381
6403.84,467
7058.0,468
7058.0,476
6403.84,470
6403.84,518
6390.84,426
7058.0,486
7058.0,472
6403.84,168
6390.84,463
6403.84,401
6403.84,450
6390.84,202
6403.84,430
6390.84,442
6403.84,398
6403.84,371
6403.84,577
6403.84,464
6403.84,465
6390.84,442
6403.84,470
7058.0,548
6403.84,507
6403.84,460
6390.84,452
7058.0,275
6390.84,470
6403.84,459
6403.84,483
6403.84,462
6390.84,518
6403.84,485
6403.84,477
6403.84,472
6390.84,454
6403.84,474
6390.84,458
6403.84,440
7058.0,491
6390.84,462
6403.84,443
6403.84,416
6390.84,475
6403.84,482
6403.84,487
6403.84,503
6390.84,444
7058.0,483
7058.0,285
7058.0,511
6390.84,461
6403.84,465
6403.84,290
6403.84,255
