Energia_eV,Electrones
6390.84,252287
6390.84,257218
6403.84,285147
6403.84,240120
6403.84,247146
6403.84,243597
6403.84,253492
6390.84,245255
6403.84,283713
7058.0,300452
7058.0,163861
6403.84,243339
6403.84,224862
6403.84,261061
6403.84,263470
6390.84,248786
6403.84,261233
6403.84,257375
6390.84,122770
6403.84,259744
6403.84,131188
6390.84,249130
6403.84,282965
6403.84,255775
6403.84,252890
6403.84,266738
6403.84,259662
6390.84,246183
6403.84,269682
6403.84,248440
6390.84,254616
6403.84,252458
6403.84,290999
6403.84,265624
6403.84,242898
6403.84,256027
6390.84,277586
6403.84,273552
6403.84,254124
6403.84,114726
6390.84,260623
6403.84,250207
6403.84,246725
6403.84,238910
6403.84,261584
6403.84,259334
6403.84,246987
6403.84,263533
6390.84,263693
6403.84,241357
6390.84,250853
6403.84,252042
6390.84,273552
6403.84,231348
6403.84,252768
6390.84,260121
6403.84,269261
6403.84,261317
6390.84,256336
6403.84,255600
6390.84,276934
6403.84,264483
6403.84,174528
6403.84,258573
6403.84,245085
6403.84,268325
6390.84,256382
6403.84,259057
6390.84,246940
6403.84,254740
6403.84,259742
6403.84,247235
6403.84,268613
6390.84,258933
6403.84,252991
6403.84,247603
6390.84,247650
6403.84,234849
6403.84,247444
6403.84,257531
6403.84,279494
7058.0,296975
6403.84,238766
6390.84,245944
6403.84,250795
6403.84,258843
6390.84,264483
6390.84,267347
6403.84,256345
6390.84,252299
6403.84,239209
6390.84,258886
6403.84,265635
6390.84,230560
6403.84,225670
6390.84,253336
6390.84,245229
6390.84,274085
6403.84,262520
6403.84,269592
7058.0,257719
6403.84,160452
6403.84,71012
6390.84,249195
6403.84,276591
6390.84,261724
6403.84,245959
6403.84,272942
6403.84,275552
7058.0,295940
6390.84,276013
6390.84,266633
6403.84,262744
6403.84,126829
6390.84,250944
6403.84,255640
6403.84,233612
6390.84,264223
6403.84,253366
7058.0,267160
6403.84,273749
6403.84,260509
6403.84,271979
6390.84,265339
6403.84,238797
6403.84,256896
6390.84,255665
6390.84,246994
6403.84,128406
