Energia_eV,Electrones
6403.84,235445
6403.84,269341
6390.84,239911
6390.84,253357
6390.84,257829
6403.84,265276
6390.84,247449
6403.84,261395
6390.84,258834
6390.84,267688
6403.84,244299
6403.84,247713
6390.84,265697
6403.84,129053
7058.0,312426
6390.84,262082
6403.84,248974
7058.0,307203
6403.84,240010
6390.84,239352
6403.84,263725
6390.84,260637
6403.84,258773
6403.84,257414
6403.84,263970
6390.84,228434
6403.84,240621
6390.84,252586
6403.84,257027
6390.84,263874
6403.84,277376
6390.84,256889
7058.0,285241
6403.84,280838
6403.84,272212
6403.84,249655
6403.84,247545
6403.84,258685
6403.84,242195
6390.84,255531
6403.84,239657
6403.84,273023
6403.84,250589
6403.84,253484
6403.84,134394
6390.84,248740
6390.84,262222
6390.84,252625
6390.84,245218
6390.84,251021
6390.84,247278
6403.84,249536
6403.84,253286
6390.84,251885
6390.84,259982
6390.84,250949
6403.84,260620
7058.0,286240
6403.84,253068
6403.84,249048
6403.84,130373
6403.84,260525
6403.84,249713
6390.84,123158
6390.84,269008
6403.84,253712
6390.84,248670
6403.84,252137
6390.84,264970
6403.84,271865
7058.0,258002
6403.84,257675
6390.84,233146
6390.84,254880
6390.84,242661
6403.84,237561
6390.84,244663
6403.84,269189
6403.84,240037
6390.84,260416
7058.0,174534
6403.84,271936
6403.84,273005
6403.84,263712
7058.0,284491
6403.84,258257
6403.84,261552
6403.84,258053
6390.84,256240
6403.84,268064
6403.84,265799
6403.84,255068
6390.84,257561
6403.84,252371
6403.84,232665
6403.84,234275
6403.84,268951
6403.84,230288
6403.84,273952
6403.84,257834
7058.0,306650
6390.84,260757
6403.84,262929
7058.0,269309
6403.84,252432
6403.84,285884
6390.84,124902
6403.84,113183
7058.0,295460
6403.84,257982
6403.84,230307
6403.84,280091
6403.84,260649
7058.0,284037
7058.0,277097
6403.84,251141
6390.84,250944
6390.84,226585
6403.84,260663
6403.84,246635
7058.0,283998
6403.84,262702
6403.84,242049
6390.84,137476
6403.84,274379
6390.84,246082
6403.84,270552
6390.84,225843
6403.84,261391
7058.0,291192
6390.84,246009
6403.84,249370
6403.84,260833
6390.84,258404
6403.84,250637
6403.84,272849
6403.84,241597
6403.84,134819
6403.84,274453
6403.84,132578
6403.84,248940
6390.84,263682
6403.84,168295
6403.84,253413
6403.84,124742
6403.84,261049
6403.84,265054
6403.84,226564
7058.0,266544
6390.84,220243
6403.84,284246
6403.84,252008
6390.84,132419
6390.84,273890
6403.84,263799
6403.84,253242
6390.84,249978
6390.84,267436
7058.0,174553
6403.84,237346
6390.84,138933
6403.84,275754
6403.84,246978
6390.84,261195
6390.84,274203
6403.84,250725
6403.84,240826
6390.84,230834
6403.84,241872
6403.84,252991
6390.84,278550
6390.84,244583
6390.84,262100
6403.84,240782
6403.84,252431
6403.84,25040
6390.84,278333
6390.84,261677
6403.84,121140
6403.84,262669
6390.84,253407
6403.84,234283
6390.84,265646
6403.84,238076
6403.84,135158
6390.84,274080
7058.0,269695
6390.84,269507
6403.84,257787
6403.84,252901
6403.84,260580
6403.84,242700
6390.84,240201
6390.84,218979
6403.84,249146
6390.84,246195
6403.84,241088
6390.84,251172
6390.84,254170
6403.84,255627
6390.84,250999
6403.84,251668
6390.84,250586
6403.84,124248
6390.84,242786
7058.0,308261
6403.84,259147
6403.84,253560
6403.84,245506
7058.0,267115
6403.84,262508
6390.84,246465
6403.84,289835
6390.84,225680
6390.84,239243
7058.0,180949
6403.84,138401
6403.84,259607
6403.84,257601
7058.0,280006
6403.84,285352
7058.0,250167
7058.0,286643
6403.84,240870
6403.84,256764
6403.84,273545
6403.84,269168
6403.84,265285
6390.84,254325
6403.84,242633
6403.84,231964
6390.84,266940
6403.84,261822
6403.84,262697
6390.84,257046
6403.84,247630
6390.84,270878
6403.84,274946
6403.84,235683
6390.84,245560
6390.84,253505
6390.84,268815
6390.84,296099
6390.84,254230
6390.84,240239
6390.84,252520
6390.84,249250
6390.84,112523
6403.84,260823
6390.84,238735
6403.84,259465
6403.84,238437
6403.84,263193
6390.84,265290
6390.84,263268
6403.84,256206
6390.84,138099
6403.84,258933
6403.84,250371
6403.84,246922
6403.84,247939
6403.84,244600
6390.84,121634
6403.84,251186
6403.84,266566
6390.84,242429
6403.84,236944
6403.84,251455
6403.84,253768
6390.84,252173
6403.84,243062
6390.84,265865
6403.84,251943
6403.84,252673
6403.84,256784
6390.84,236918
6390.84,228975
6403.84,271355
6403.84,254031
7058.0,275929
6403.84,247601
6390.84,267935
6403.84,236909
6403.84,246453
6390.84,245840
6390.84,249677
6403.84,233777
6403.84,238998
7058.0,289678
7058.0,314464
6390.84,264258
6403.84,258010
7058.0,269328
6403.84,248073
6390.84,264142
6390.84,143154
6390.84,228967
6403.84,253690
6403.84,261961
6403.84,237323
6403.84,127448
6390.84,261746
6403.84,250276
6403.84,275740
6403.84,240331
7058.0,286203
6403.84,233548
6403.84,264622
6403.84,264357
6403.84,271128
6403.84,249403
6390.84,251820
6403.84,126572
6403.84,255428
6403.84,253603
6390.84,255271
6403.84,233469
6403.84,255109
6390.84,235318
6403.84,210976
6403.84,263132
6403.84,222862
6403.84,282992
6403.84,277967
6390.84,274350
6390.84,272986
6403.84,278195
6403.84,259264
6390.84,124322
6390.84,220711
6390.84,244106
6403.84,117621
6390.84,241814
6390.84,268202
6390.84,280598
6403.84,269892
6403.84,137203
6403.84,118826
6390.84,256604
6403.84,258150
6390.84,253861
6403.84,229398
6390.84,259591
6403.84,133489
6403.84,128285
6403.84,252548
6403.84,245305
6390.84,287995
7058.0,285757
6403.84,256753
6390.84,276269
6390.84,227341
6403.84,280197
7058.0,272136
6390.84,255292
6403.84,251628
6403.84,258361
6403.84,115898
6390.84,250787
6403.84,262069
6403.84,247942
6403.84,266800
6403.84,245787
6390.84,283647
7058.0,276752
7058.0,276132
6390.84,253240
6390.84,130113
6390.84,244121
6390.84,237353
6390.84,251712
6403.84,256168
6390.84,125765
7058.0,268200
6403.84,269229
6403.84,246870
6403.84,252726
7058.0,275966
6403.84,238347
6390.84,254193
6390.84,272183
6403.84,253648
6390.84,246686
6403.84,259107
7058.0,286769
7058.0,281317
6403.84,251298
7058.0,283771
6390.84,255498
6403.84,281130
6390.84,272760
6390.84,250752
6390.84,235624
6403.84,287982
6390.84,255228
7058.0,295793
6390.84,250590
6390.84,262158
6403.84,256616
6390.84,279734
7058.0,242427
6390.84,239245
6390.84,252936
