Energia_Foton_eV,Electrones_Colectados_Anodo
6403.84,4
6390.84,1
6403.84,0
6390.84,8
6403.84,2
6403.84,1
6390.84,1
6403.84,1
6390.84,1
6403.84,2
6390.84,2
6403.84,0
7058.0,0
6403.84,4
6403.84,2
6390.84,0
6403.84,1
6403.84,4
6403.84,1
6403.84,5
6403.84,0
6390.84,1
6403.84,1
6403.84,1
6390.84,0
7058.0,4
6403.84,4
6403.84,2
6403.84,1
6403.84,0
6390.84,1
6403.84,2
6403.84,0
6403.84,3
6403.84,6
6390.84,1
6403.84,6
7058.0,7
6390.84,0
6390.84,0
6403.84,2
6403.84,0
6390.84,0
6403.84,17
6403.84,1
7058.0,0
6403.84,10
7058.0,1
6390.84,7
6403.84,0
7058.0,1
6390.84,0
6390.84,0
6390.84,0
6403.84,0
7058.0,5
6403.84,1
6403.84,1
6403.84,2
6403.84,3
6390.84,2
6390.84,0
6390.84,0
6403.84,2
7058.0,4
6390.84,2
6390.84,0
6403.84,0
6403.84,3
6403.84,2
6390.84,2
6390.84,0
7058.0,3
6403.84,0
6403.84,4
6403.84,3
6390.84,6
6390.84,0
6403.84,2
6403.84,0
6403.84,3
6390.84,1
6403.84,2
7058.0,0
6403.84,0
6403.84,0
6390.84,4
6403.84,0
6390.84,3
6403.84,1
6390.84,0
6403.84,0
6390.84,6
6403.84,9
7058.0,3
6403.84,3
7058.0,2
6390.84,2
6403.84,2
6390.84,0
6390.84,1
6390.84,0
6403.84,1
6390.84,1
6403.84,1
6390.84,1
6403.84,1
6403.84,7
6390.84,12
6403.84,2
6403.84,0
6390.84,4
6403.84,1
6403.84,1
6403.84,1
6403.84,1
6390.84,2
6403.84,1
6403.84,0
6403.84,6
6403.84,1
6390.84,8
6403.84,2
6403.84,1
6403.84,0
6390.84,0
6390.84,4
6403.84,9
6403.84,1
6403.84,3
6403.84,4
6403.84,0
6403.84,5
6403.84,3
6390.84,6
6403.84,0
6403.84,0
6403.84,0
7058.0,0
6390.84,0
6403.84,3
6390.84,0
6403.84,0
6403.84,1
6403.84,3
6403.84,0
6390.84,3
7058.0,3
6390.84,1
6403.84,2
6403.84,2
6390.84,0
6390.84,1
6390.84,1
6403.84,2
6403.84,2
6403.84,2
6403.84,5
6390.84,1
6403.84,1
6390.84,3
6403.84,3
6403.84,1
6403.84,0
6403.84,0
6403.84,0
6390.84,1
6403.84,5
6403.84,1
6403.84,1
6403.84,0
6403.84,1
6403.84,0
7058.0,0
6403.84,0
6403.84,1
6403.84,2
6390.84,2
6403.84,0
6403.84,11
6403.84,1
6403.84,2
6403.84,5
6403.84,1
6403.84,0
6403.84,0
6403.84,6
6390.84,5
7058.0,3
6390.84,0
6403.84,1
6403.84,1
6403.84,2
6403.84,0
7058.0,1
6403.84,0
6390.84,0
6390.84,2
6390.84,1
6403.84,1
7058.0,4
6390.84,2
6403.84,0
6403.84,2
6403.84,4
6403.84,1
6403.84,2
6390.84,0
6403.84,3
6390.84,9
6390.84,5
6390.84,2
6403.84,2
6403.84,0
6403.84,7
6403.84,6
6403.84,0
6403.84,3
6403.84,1
6403.84,0
6390.84,4
6403.84,0
6403.84,3
6403.84,6
6390.84,0
6403.84,0
6390.84,1
6403.84,4
6403.84,0
6403.84,0
6390.84,1
6403.84,1
6403.84,0
6403.84,0
6390.84,3
6403.84,0
6403.84,2
6403.84,0
6390.84,4
6403.84,1
6403.84,5
6390.84,2
6403.84,2
6403.84,0
6403.84,0
6403.84,2
7058.0,3
6403.84,2
6403.84,1
6390.84,2
6403.84,4
6403.84,0
6403.84,5
6403.84,0
6390.84,7
6390.84,1
7058.0,5
6403.84,8
6403.84,1
6390.84,2
6403.84,1
6403.84,1
6390.84,1
6403.84,0
6390.84,1
7058.0,1
6403.84,2
6403.84,2
6403.84,0
7058.0,9
7058.0,2
6390.84,1
6403.84,1
6403.84,1
6390.84,2
6403.84,4
7058.0,4
6390.84,3
6403.84,4
6403.84,0
6403.84,1
6403.84,3
6390.84,3
6403.84,1
6390.84,0
6403.84,4
7058.0,0
6403.84,1
6403.84,2
6403.84,1
6403.84,1
6403.84,0
6403.84,0
6403.84,0
6403.84,2
6390.84,1
6403.84,2
7058.0,3
6390.84,5
6403.84,1
6403.84,3
6403.84,2
6403.84,5
7058.0,3
6403.84,3
6403.84,0
6390.84,2
6403.84,1
6403.84,1
6403.84,0
6403.84,0
6390.84,1
6390.84,2
6403.84,1
6403.84,7
6403.84,4
6403.84,0
6403.84,2
6390.84,4
6390.84,0
6390.84,0
6403.84,1
6403.84,1
6403.84,1
7058.0,11
6403.84,0
7058.0,0
6403.84,3
6403.84,0
6403.84,1
6390.84,10
6403.84,6
6390.84,2
6403.84,9
6390.84,4
6403.84,2
7058.0,0
6403.84,0
6403.84,3
6390.84,7
6403.84,4
6403.84,0
6390.84,3
6403.84,10
6403.84,3
6390.84,0
6403.84,1
6403.84,4
6390.84,1
6403.84,5
6403.84,2
6403.84,0
6390.84,5
6390.84,1
6403.84,2
6403.84,0
6403.84,1
6403.84,0
6403.84,1
6403.84,2
6403.84,2
6390.84,1
6403.84,5
6390.84,1
6390.84,4
7058.0,4
6390.84,3
6403.84,0
6403.84,0
6403.84,0
6403.84,0
6403.84,0
6403.84,4
6403.84,5
6403.84,0
6403.84,0
6403.84,0
7058.0,1
7058.0,0
6390.84,0
6403.84,1
6403.84,0
6403.84,2
6403.84,0
6403.84,2
6390.84,2
6390.84,0
6403.84,0
6390.84,4
6403.84,5
6403.84,3
6403.84,3
6403.84,3
6403.84,0
6403.84,0
6390.84,2
6390.84,5
6403.84,0
6390.84,2
6403.84,2
6390.84,1
6403.84,2
6403.84,4
6403.84,0
6390.84,0
6390.84,0
6403.84,4
6403.84,1
6403.84,0
6403.84,3
6403.84,0
6403.84,1
6403.84,0
6403.84,1
6403.84,0
6403.84,6
6403.84,3
6403.84,1
6403.84,2
6390.84,9
6403.84,0
6403.84,0
6403.84,6
6403.84,7
7058.0,6
6403.84,0
6390.84,0
6403.84,2
6403.84,1
6403.84,0
6403.84,0
6403.84,2
6403.84,2
6390.84,3
6390.84,3
6390.84,3
6390.84,3
6403.84,2
6403.84,0
6403.84,1
7058.0,1
6390.84,1
6403.84,1
6403.84,2
6403.84,1
6390.84,1
6403.84,2
6390.84,6
6403.84,1
6390.84,2
6390.84,3
6390.84,3
6403.84,0
6390.84,0
6390.84,0
6403.84,3
6403.84,0
6403.84,7
6403.84,0
6403.84,1
6403.84,0
6403.84,1
6403.84,7
6403.84,1
6403.84,3
6390.84,3
6403.84,0
6403.84,1
6390.84,1
6390.84,1
6403.84,0
6403.84,1
6403.84,2
7058.0,3
6403.84,0
6403.84,2
6390.84,3
6390.84,2
6403.84,8
6403.84,0
6403.84,6
6390.84,5
6390.84,12
6390.84,1
6403.84,1
6390.84,1
6390.84,0
6403.84,0
6403.84,5
6403.84,1
6390.84,1
6403.84,1
